,round,net_armies,net_income,net_countries,net_continents,Random_1_armies,Random_1_income,Random_1_countries,Random_1_continents
0,2,22,17,6,3,0,3,0,0
1,0,17,17,6,3,0,3,0,0
2,7,62,17,6,3,0,3,0,0
3,0,16,17,6,3,0,3,0,0
4,3,26,17,6,3,0,3,0,0
5,2,0,3,0,0,9,17,6,3
6,0,15,17,6,3,0,3,0,0
7,4,21,17,6,3,0,3,0,0
8,0,17,17,6,3,0,3,0,0
9,4,22,17,6,3,0,3,0,0
10,0,17,17,6,3,0,3,0,0
11,3,0,3,0,0,38,17,6,3
12,1,11,17,6,3,0,3,0,0
13,3,21,17,6,3,0,3,0,0
14,0,15,17,6,3,0,3,0,0
15,1,13,17,6,3,0,3,0,0
16,0,15,17,6,3,0,3,0,0
17,2,19,17,6,3,0,3,0,0
18,9,0,3,0,0,38,17,6,3
19,0,15,17,6,3,0,3,0,0
20,5,12,17,6,3,0,3,0,0
21,5,22,17,6,3,0,3,0,0
22,0,16,17,6,3,0,3,0,0
23,0,15,17,6,3,0,3,0,0
24,1,13,17,6,3,0,3,0,0
25,0,14,17,6,3,0,3,0,0
26,0,16,17,6,3,0,3,0,0
27,3,24,17,6,3,0,3,0,0
28,1,0,3,0,0,12,17,6,3
29,0,15,17,6,3,0,3,0,0
30,0,8,17,6,3,0,3,0,0
31,0,10,17,6,3,0,3,0,0
32,0,17,17,6,3,0,3,0,0
33,0,20,17,6,3,0,3,0,0
34,0,7,17,6,3,0,3,0,0
35,1,24,17,6,3,0,3,0,0
36,0,26,17,6,3,0,3,0,0
37,6,33,17,6,3,0,3,0,0
38,7,0,3,0,0,37,17,6,3
39,3,9,17,6,3,0,3,0,0
40,4,27,17,6,3,0,3,0,0
41,12,141,17,6,3,0,3,0,0
42,2,20,17,6,3,0,3,0,0
43,3,10,17,6,3,0,3,0,0
44,3,30,17,6,3,0,3,0,0
45,4,34,17,6,3,0,3,0,0
46,0,9,17,6,3,0,3,0,0
47,6,59,17,6,3,0,3,0,0
48,0,12,17,6,3,0,3,0,0
49,10,72,17,6,3,0,3,0,0
50,0,8,17,6,3,0,3,0,0
51,0,12,17,6,3,0,3,0,0
52,0,19,17,6,3,0,3,0,0
53,0,14,17,6,3,0,3,0,0
54,4,14,17,6,3,0,3,0,0
55,0,22,17,6,3,0,3,0,0
56,3,35,17,6,3,0,3,0,0
57,12,140,17,6,3,0,3,0,0
58,0,17,17,6,3,0,3,0,0
59,0,15,17,6,3,0,3,0,0
60,1,13,17,6,3,0,3,0,0
61,0,17,17,6,3,0,3,0,0
62,0,10,17,6,3,0,3,0,0
63,4,12,17,6,3,0,3,0,0
64,0,8,17,6,3,0,3,0,0
65,0,15,17,6,3,0,3,0,0
66,0,20,17,6,3,0,3,0,0
67,0,10,17,6,3,0,3,0,0
68,0,16,17,6,3,0,3,0,0
69,6,70,17,6,3,0,3,0,0
70,0,13,17,6,3,0,3,0,0
71,0,16,17,6,3,0,3,0,0
72,1,19,17,6,3,0,3,0,0
73,0,9,17,6,3,0,3,0,0
74,6,55,17,6,3,0,3,0,0
75,7,53,17,6,3,0,3,0,0
76,0,19,17,6,3,0,3,0,0
77,3,28,17,6,3,0,3,0,0
78,2,13,17,6,3,0,3,0,0
79,1,23,17,6,3,0,3,0,0
80,0,20,17,6,3,0,3,0,0
81,0,18,17,6,3,0,3,0,0
82,3,27,17,6,3,0,3,0,0
83,15,0,3,0,0,105,17,6,3
84,6,66,17,6,3,0,3,0,0
85,0,13,17,6,3,0,3,0,0
86,0,11,17,6,3,0,3,0,0
87,0,18,17,6,3,0,3,0,0
88,1,23,17,6,3,0,3,0,0
89,5,58,17,6,3,0,3,0,0
90,1,7,17,6,3,0,3,0,0
91,0,15,17,6,3,0,3,0,0
92,5,46,17,6,3,0,3,0,0
93,0,18,17,6,3,0,3,0,0
94,0,18,17,6,3,0,3,0,0
95,1,6,17,6,3,0,3,0,0
96,3,10,17,6,3,0,3,0,0
97,5,53,17,6,3,0,3,0,0
98,2,10,17,6,3,0,3,0,0
99,8,84,17,6,3,0,3,0,0
