,round,neuralMCTS_armies,neuralMCTS_income,neuralMCTS_countries,neuralMCTS_continents,UCT_1_armies,UCT_1_income,UCT_1_countries,UCT_1_continents
0,1,8,17,6,3,0,3,0,0
1,0,12,17,6,3,0,3,0,0
2,0,22,17,6,3,0,3,0,0
3,2,7,17,6,3,0,3,0,0
4,2,18,17,6,3,0,3,0,0
5,2,8,17,6,3,0,3,0,0
6,1,10,17,6,3,0,3,0,0
7,2,20,17,6,3,0,3,0,0
8,0,0,3,0,0,10,17,6,3
9,1,18,17,6,3,0,3,0,0
