,round,UCT_0_armies,UCT_0_income,UCT_0_countries,UCT_0_continents,neuralMCTS_armies,neuralMCTS_income,neuralMCTS_countries,neuralMCTS_continents
0,3,50,17,6,3,0,3,0,0
1,1,23,17,6,3,0,3,0,0
2,159,1834,12,4,1,415,3,2,0
3,0,0,3,0,0,6,17,6,3
4,0,16,17,6,3,0,3,0,0
5,0,20,17,6,3,0,3,0,0
6,2,17,17,6,3,0,3,0,0
7,1,14,17,6,3,0,3,0,0
8,0,0,3,0,0,7,17,6,3
9,0,11,17,6,3,0,3,0,0
