,round,Peaceful_0_armies,Peaceful_0_income,Peaceful_0_countries,Peaceful_0_continents,flatMC_1_armies,flatMC_1_income,flatMC_1_countries,flatMC_1_continents
0,0,0,3,0,0,105,21,9,4
1,1,0,3,0,0,69,18,9,4
2,2,0,3,0,0,22,18,9,4
3,3,89,3,1,0,1428,84,8,3
4,4,0,3,0,0,39,18,9,4
